–; Faroe Islands (Denmark);54,255;;;;;
–; South Ossetia;56,52;;;;;
–; American Samoa (United States);49,71;;;;;
187; Saint Kitts and Nevis;48;;;;;
–; Northern Mariana Islands (United States);47,329;;;;;
–; Turks and Caicos Islands (United Kingdom);44,542;;;;;
–; Sint Maarten (Netherlands);42,577;;;;;
188; Liechtenstein;39,68;;;;;
189; Marshall Islands;39,262;;;;;
190; Monaco;39,15;;;;;
191; San Marino;33,785;;;;;
–; Gibraltar (United Kingdom);33;;;;;
–; Saint Martin (France);32,489;;;;;
–; British Virgin Islands (United Kingdom);31;;;;;
–; Åland (Finland);30,402;;;;;
192; Palau;16,733;;;;;
–; Anguilla (United Kingdom);15,701;;;;;
–; Cook Islands;15,04;;;;;
193; Nauru;11,832;;;;;
–; Wallis and Futuna (France);11,369;;;;;
194; Tuvalu;10,679;;;;;
–; Saint Barthélemy (France);10,289;;;;;
–; Saint Pierre and Miquelon (France);5,974;;;;;
–; Saint Helena, Ascension and Tristan da Cunha (United Kingdom);5,651;;;;;
–; Montserrat (United Kingdom);4,4;;;;;
–; Falkland Islands (United Kingdom);3,8;;;;;
–; Norfolk Island (Australia);2,188;;;;;
–; Christmas Island (Australia);1,692;;;;;
–; Tokelau (New Zealand);1,647;;;;;
–; Niue;1,549;;;;;
195; Vatican City;825;;;;;
–; Cocos (Keeling) Islands (Australia);593;;;;;
–; Pitcairn Islands (United Kingdom);47;;;;;
